wl	uv.u	uv.s	uv.m	uv.l	v.u	v.s	v.m	v.l
300	0.047704314	0	0	0	0	0	0	0
301	0.06298204	0	0	0	0	0	0	0
302	0.078353858	0	0	0	0	0	0	0
303	0.093795531	0	0	0	0	0	0	0
304	0.109282824	0	0	0	0	0	0	0
305	0.124795066	0	0	0	0	0	0	0
306	0.140312298	0	0	0	0	0	0	0
307	0.15581955	0	0	0	0	0	0	0
308	0.171301854	0	0	0	0	0	0	0
309	0.186747804	0	0	0	0	0	0	0
310	0.202148134	0	0	0	0	0	0	0
311	0.217497142	0	0	0	0	0	0	0
312	0.23279055	0	0	0	0	0	0	0
313	0.248026933	0	0	0	0	0	0	0
314	0.263206291	0	0	0	0	0	0	0
315	0.278332188	0	0	0	0	0	0	0
316	0.293409614	0	0	0	0.002071176	0	0	0
317	0.308444984	0	0	0	0.013188768	0	0	0
318	0.323444713	0	0	0	0.024111938	0	0	0
319	0.338418781	0	0	0	0.034838021	0	0	0
320	0.353377167	0	0	0	0.045363468	0	0	0
321	0.36832985	0	0	0	0.055684727	0	0	0
322	0.383287523	0	0	0	0.065802685	0	0	0
323	0.398260878	0	0	0	0.075716456	0	0	0
324	0.413260607	0	0	0	0.085428702	0	0	0
325	0.42829669	0	0	0	0.094941198	0	0	0
326	0.44337768	0	0	0	0.104258385	0	0	0
327	0.458512131	0	0	0	0.113386475	0	0	0
328	0.473706458	0	0	0	0.122332573	0	0	0
329	0.488966364	0	0	0	0.131104666	0	0	0
330	0.5042947	0	0	0	0.139711633	0	0	0
331	0.519693604	0	0	0	0.148166791	0	0	0
332	0.535163077	0	0	0	0.156481681	0	0	0
333	0.550701693	0	0	0	0.164670507	0	0	0
334	0.56630375	0	0	0	0.172747474	0	0	0
335	0.581964257	0	0	0	0.180729448	0	0	0
336	0.597673948	0	0	0	0.188632411	0	0	0
337	0.613423556	0	0	0	0.196475005	0	0	0
338	0.629198826	0	0	0	0.204275874	0	0	0
339	0.644986214	0	0	0	0.212053661	0	0	0
340	0.660768612	0	0	0	0.219828784	0	0	0
341	0.6765282	0	0	0	0.227621663	0	0	0
342	0.692244307	0	0	0	0.23545094	0	0	0
343	0.707895547	0	0	0	0.243337923	0	0	0
344	0.723459112	0	0	0	0.251302142	0	0	0
345	0.738909339	0	0	0	0.259364017	0	0	0
346	0.754220567	0	0	0	0.267542189	0	0	0
347	0.76936571	0	0	0	0.275856191	0	0	0
348	0.784316255	0	0	0	0.28432289	0	0	0
349	0.79904369	0	0	0	0.292960042	0	0	0
350	0.813517363	0	0	0	0.301783626	0	0	0
351	0.827707336	0	0	0	0.310807848	0	0	0
352	0.841580107	0	0	0	0.32004691	0	0	0
353	0.855105739	0	0	0	0.329513242	0	0	0
354	0.868250015	0	0	0	0.339216611	0	0	0
355	0.880980147	0	0	0	0.34916678	0	0	0
356	0.893263345	0	0	0	0.359370852	0	0	0
357	0.905063968	0	0	0	0.369834155	0	0	0
358	0.916347802	0	0	0	0.380560239	0	0	0
359	0.927081343	0	0	0	0.391552654	0	0	0
360	0.937227527	0	0	0	0.402811402	0	0	0
361	0.946752138	0	0	0	0.414334707	0	0	0
362	0.955618109	0	0	0	0.426119017	0	0	0
363	0.9637898	0	0	0	0.438159893	0	0	0
364	0.971230857	0	0	0	0.450450235	0	0	0
365	0.977904215	0	0	0	0.462982938	0	0	0
366	0.983773519	0	0	0	0.47574735	0	0	0
367	0.988800278	0	0	0	0.48873193	0	0	0
368	0.992948139	0	0	0	0.501925138	0	0	0
369	0.996180034	0	0	0	0.515311879	0	0	0
370	0.998456759	0	0	0	0.528877952	0	0	0
371	0.999742674	0	0	0	0.542605598	0	0	0
372	1	0	0	0	0.556479728	0	0	0
373	0.99919167	0	0	0	0.570479922	0	0	0
374	0.997280617	0	0	0	0.584588424	0	0	0
375	0.994231915	0	0	0	0.598785703	0	0	0
376	0.990010635	0	0	0	0.613050453	0	0	0
377	0.984582562	0	0	0	0.627363143	0	0	0
378	0.97791562	0	0	0	0.641702466	0	0	0
379	0.969979157	0	0	0	0.656047116	0	0	0
380	0.960745375	0	0	0	0.67037401	0	0	0
381	0.950189323	0	0	0	0.684663618	0	0	0
382	0.938288193	0	0	0	0.698892857	0	0	0
383	0.925024877	0	0	0	0.713039533	0	0	0
384	0.910386544	0	0	0	0.727083228	0	0	0
385	0.894365354	0	0	0	0.741000858	0	0	0
386	0.876961306	0	0	0	0.754772006	0	0	0
387	0.858182241	0	0	0	0.768374477	0	0	0
388	0.838043841	0	0	0	0.781787852	0	0	0
389	0.81657248	0	0	0	0.794989937	0	0	0
390	0.793806651	0	0	0	0.807962089	0	0	0
