wl,lomandra1
179.74,0
179.95,0
180.16,0
180.37,3666.6665
180.59,-1025
180.8,1600
181.01,98.9795
181.22,28.467
181.43,57.547
181.64,119.7805
181.86,166.6665
182.07,-257.1425
182.28,240
182.49,80.9855
182.7,137.6405
182.91,19.091
183.13,-225
183.34,216.9015
183.55,101.3515
183.76,46.8085
183.97,26.888
184.18,21.7205
184.4,23.6135
184.61,25.9405
184.82,15.847
185.03,16.3665
185.24,19.4855
185.45,22.328
185.66,20.334
185.88,15.7415
186.09,20.2985
186.3,18.049
186.51,23.6205
186.72,22.0205
186.93,12.5
187.14,4.238
187.36,5.737
187.57,2.563
187.78,-1.244
187.99,4.667
188.2,3.3375
188.41,6.2135
188.62,3.2835
188.84,5.116
189.05,8.3365
189.26,7.2985
189.47,12.174
189.68,11.6965
189.89,4.5045
190.1,3.4315
190.32,-2.93
190.53,-2.272
190.74,1.7485
190.95,-1.858
191.16,10.131
191.37,5.0845
191.58,1.1685
191.79,-5.8825
192.01,-7.249
192.22,-2.0235
192.43,4.5735
192.64,3.8745
192.85,6.9725
193.06,4.873
193.27,7.338
193.48,6.245
193.7,2.6535
193.91,5.871
194.12,2.166
194.33,-0.4875
194.54,7.8735
194.75,4.232
194.96,0.408
195.17,-3.6895
195.38,-2.3885
195.6,-0.6725
195.81,0.615
196.02,0.608
196.23,2.8735
196.44,0.0795
196.65,-3.145
196.86,-5.326
197.07,-4.0405
197.28,-2.455
197.5,-1.7295
197.71,-1.071
197.92,-1.491
198.13,-2.431
198.34,-4.7915
198.55,-2.778
198.76,-0.41
198.97,4.5195
199.18,0.645
199.4,-0.9465
199.61,-3.896
199.82,-14.134
200.03,-9.2415
200.24,-4.6225
200.45,-1.851
200.66,-4.899
200.87,-5.9775
201.08,-9.6095
201.29,-9.012
201.5,-5.6195
201.72,-3.181
201.93,-7.835
202.14,-2.733
202.35,-6.467
202.56,-10.637
202.77,-9.1085
202.98,-4.837
203.19,-11.4055
203.4,-8.8675
203.61,-3.107
203.82,1.651
204.04,-8.6925
204.25,-1.057
204.46,-3.232
204.67,-7.643
204.88,-5.7525
205.09,2.1545
205.3,0.0815
205.51,-1.617
205.72,-7.194
205.93,-10.0575
206.14,-13.657
206.35,-18.4785
206.56,-24.6365
206.78,-25.683
206.99,-27.773
207.2,-33.948
207.41,-34.0345
207.62,-38.4185
207.83,-37.0575
208.04,-34.6445
208.25,-24.709
208.46,-22.1355
208.67,-23.7
208.88,-17.351
209.09,-9.759
209.3,-8.8795
209.51,-11.848
209.73,-7.105
209.94,-11.4375
210.15,-17.926
210.36,-18.811
210.57,-11.799
210.78,-18.1645
210.99,-6.729
211.2,-4.5935
211.41,-5.0675
211.62,-5.8125
211.83,-5.7655
212.04,-3.923
212.25,-11.0795
212.46,-15.48
212.67,-6.4375
212.88,-11.2435
213.09,-7.0155
213.31,-2.394
213.52,-0.0615
213.73,-8.477
213.94,-10.8465
214.15,-8.031
214.36,-7.185
214.57,-4.798
214.78,0.496
214.99,2.7965
215.2,6.6125
215.41,7.481
215.62,8.491
215.83,6.9685
216.04,8.062
216.25,7.7575
216.46,8.5265
216.67,8.433
216.88,9.195
217.09,11.78
217.3,9.652
217.51,6.6235
217.72,6.6095
217.93,8.767
218.14,8.4605
218.36,7.124
218.57,7.378
218.78,10.3605
218.99,10.1065
219.2,5.147
219.41,7.5145
219.62,2.106
219.83,-1.722
220.04,0.163
220.25,-2.3525
220.46,1.424
220.67,1.5635
220.88,3.588
221.09,3.1095
221.3,1.725
221.51,2.088
221.72,2.3725
221.93,-1.0415
222.14,-4.4335
222.35,-3.7185
222.56,-1.971
222.77,-2.429
222.98,0.4165
223.19,1.994
223.4,-1.848
223.61,-4.323
223.82,-3.85
224.03,-1.823
224.24,-0.9825
224.45,1.0515
224.66,1.3255
224.87,3.1495
225.08,2.4055
225.29,1.7095
225.5,0.2735
225.71,-0.494
225.92,0.2735
226.13,0.063
226.34,0.689
226.55,0.7215
226.76,2.149
226.97,1.5515
227.18,2.068
227.39,2.055
227.6,2.399
227.81,2.3685
228.02,2.0625
228.23,2.218
228.44,2.9405
228.65,2.254
228.86,2.837
229.07,2.112
229.28,1.931
229.49,1.52
229.7,1.2055
229.91,0.6095
230.12,0.631
230.33,0.7455
230.54,0.97
230.75,1.247
230.96,1.2605
231.17,1.829
231.38,2.008
231.59,1.5185
231.8,0.6095
232.01,1.241
232.22,1.688
232.43,1.802
232.64,1.5915
232.85,1.315
233.06,1.285
233.27,0.6185
233.48,0.159
233.69,0.5695
233.9,0.8755
234.11,1.681
234.32,1.9795
234.53,1.669
234.74,1.198
234.95,0.1105
235.16,-0.1115
235.37,-0.213
235.58,-0.645
235.79,-1.519
235.99,-2.229
236.2,-2.147
236.41,-2.4425
236.62,-2.4125
236.83,-1.9725
237.04,-3.1635
237.25,-1.365
237.46,-1.9735
237.67,-0.8975
237.88,-0.05
238.09,1.185
238.3,1.794
238.51,2.01
238.72,2.458
238.93,1.546
239.14,3.155
239.35,2.367
239.56,3.637
239.77,2.911
239.98,2.599
240.19,2.5145
240.4,3.74
240.61,2.4955
240.82,2.59
241.02,2.9055
241.23,3.1295
241.44,2.8055
241.65,3.6
241.86,6.791
242.07,8.6385
242.28,7.901
242.49,6.9565
242.7,6.5505
242.91,7.2915
243.12,7.6185
243.33,9.701
243.54,9.083
243.75,12.0595
243.96,9.1645
244.17,11.1715
244.38,11.628
244.58,13.7705
244.79,12.853
245,11.3865
245.21,11.118
245.42,10.6
245.63,10.7745
245.84,8.3355
246.05,9.7725
246.26,8.0035
246.47,5.304
246.68,5.6475
246.89,8.7835
247.1,12.1215
247.31,13.812
247.51,12.2265
247.72,11.1165
247.93,12.8045
248.14,10.8545
248.35,9.715
248.56,7.4545
248.77,5.307
248.98,4.693
249.19,1.847
249.4,2.4435
249.61,0.344
249.82,1.6185
250.02,5.0335
250.23,2.643
250.44,0.262
250.65,-4.9875
250.86,-5.0945
251.07,-4.325
251.28,-4.4015
251.49,-6.328
251.7,-4.757
251.91,-1.659
252.12,1.5345
252.32,-0.616
252.53,-1.225
252.74,-1.9325
252.95,-0.286
253.16,-1.629
253.37,-1.733
253.58,0.0335
253.79,-0.3975
254,-0.8215
254.21,0.3705
254.41,0.9625
254.62,1.7435
254.83,1.1005
255.04,1.7745
255.25,1.5175
255.46,1.6985
255.67,2.063
255.88,1.886
256.09,2.7565
256.3,2.947
256.5,2.643
256.71,2.5085
256.92,2.8485
257.13,3.001
257.34,3.2785
257.55,3.0115
257.76,3.2575
257.97,3.302
258.17,3.3955
258.38,3.4275
258.59,3.225
258.8,3.3115
259.01,3.466
259.22,3.674
259.43,3.6285
259.64,3.6735
259.84,3.6165
260.05,3.742
260.26,3.7515
