"wl","S","M","L"
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,0,0,0
311,0,0,0
312,0,0,0
313,0,0,0
314,0,0,0
315,0,0,0
316,0,0,0
317,0,0,0
318,0,0,0
319,0,0,0
320,0,0,0
321,0,0,0
322,0,0,0
323,0,0,0
324,0,0,0
325,0,0,0
326,0,0,0
327,0,0,0
328,0,0,0
329,0,0,0
330,0,0,0
331,0,0,0
332,0,0,0
333,0,0,0
334,0,0,0
335,0,0,0
336,0,0,0
337,0,0,0
338,0,0,0
339,0,0,0
340,0,0,0
341,0,0,0
342,0,0,0
343,0,0,0
344,0,0,0
345,0,0,0
346,0,0,0
347,0,0,0
348,0,0,0
349,0,0,0
350,0,0,0
351,0,0,0
352,0,0,0
353,0,0,0
354,0,0,0
355,0,0,0
356,0,0,0
357,0,0,0
358,0,0,0
359,0,0,0
360,0,0,0
361,0,0,0
362,0,0,0
363,0,0,0
364,0,0,0
365,0,0,0
366,0,0,0
367,0,0,0
368,0,0,0
369,0,0,0
370,0,0,0
371,0,0,0
372,0,0,0
373,0,0,0
374,0,0,0
375,0,0,0
376,0,0,0
377,0,0,0
378,0,0,0
379,0,0,0
380,0,0,0
381,0,0,0
382,0,0,0
383,0,0,0
384,0,0,0
385,0,0,0
386,0,0,0
387,0,0,0
388,0,0,0
389,0,0,0
390,0,0,0
391,0.000134836569142468,4.3033227903679e-06,4.15806861456377e-06
392,0.000163348304091963,5.26049965777363e-06,5.05853956826571e-06
393,0.000197776485372215,6.41644008478280e-06,6.1370385106033e-06
394,0.000239232190371504,7.80544037485395e-06,7.42199035960041e-06
395,0.000288983384301079,9.46511266398824e-06,8.94414555629758e-06
396,0.00034846307256471,1.14358944129569e-05,1.07358857539233e-05
397,0.000419278177783309,1.37600183409787e-05,1.28306968108794e-05
398,0.000503182365229758,1.64802763461333e-05,1.52617048823674e-05
399,0.000602077854466579,1.96379691828716e-05,1.80601121297259e-05
400,0.000717966505128622,2.32704735434639e-05,2.12536909861037e-05
401,0.000852920830720198,2.74128116828722e-05,2.48682062388797e-05
402,0.00100910392662955,3.211589830789e-05,2.89429742843788e-05
403,0.00118868251152028,3.74414392963072e-05,3.35270987920537e-05
404,0.00139373453380973,4.34610487829202e-05,3.86781322739716e-05
405,0.00162614771995900,5.02589960030575e-05,4.44648365977474e-05
406,0.00188750906457454,5.79248476759917e-05,5.09555553714611e-05
407,0.00217891098517655,6.65133444691422e-05,5.81624181216384e-05
408,0.00250085711703966,7.60542111535271e-05,6.60543899907547e-05
409,0.00285305759813532,8.6553628127081e-05,7.45589447753765e-05
410,0.00323431674759563,9.79878548136111e-05,8.35544526026178e-05
411,0.00364278669498844,0.000110317160083539,9.2898788882359e-05
412,0.00407783336712624,0.000123557926896468,0.000102563093706660
413,0.00453934806574831,0.000137759107928102,0.000112577063502531
414,0.00502742137273859,0.000152983488173331,0.000123005110238421
415,0.00554254243027029,0.000169319359031217,0.000133951798798172
416,0.00608453007457555,0.000186851087838646,0.000145519184508414
417,0.00664836606928467,0.000205566902409074,0.000157643691919772
418,0.00722618790687254,0.000225401074700976,0.000170181439752077
419,0.00780812216199082,0.000246251579097656,0.000182946720771624
420,0.00838230260784471,0.000267977149360614,0.000195709492233959
421,0.00893784130198587,0.000290441424329071,0.000208260624371396
422,0.0094749737573125,0.000313675796500473,0.000220641106618401
