avg.uv.u	avg.uv.s	avg.uv.m	avg.uv.l	BT.u	BT.s	BT.m	BT.l	star.u	star.s	star.m	star.l	avg.v.v	avg.v.s	avg.v.m	avg.v.l	pfowl.v	pfowl.s	pfowl.m	pfowl.l
0.00066924	0	0	0	2.70E-05	0	0	0	6.75E-06	0	0	0	0	0	0	0	1.82E-08	0	0	0
0.00088357	0	0	0	3.34E-05	0	0	0	8.32E-06	0	0	0	0	0	0	0	2.42E-08	0	0	0
0.00109922	0	0	0	4.32E-05	0	0	0	1.08E-05	0	0	0	0	0	0	0	3.06E-08	0	0	0
0.00131585	0	0	0	5.82E-05	0	0	0	1.46E-05	0	0	0	0	0	0	0	4.05E-08	0	0	0
0.00153312	0	0	0	8.18E-05	0	0	0	2.07E-05	0	0	0	0	0	0	0	5.65E-08	0	0	0
0.00175074	0	0	0	0.000118077	0	0	0	3.07E-05	0	0	0	0	0	0	0	7.72E-08	0	0	0
0.00196843	0	0	0	0.000173334	0	0	0	4.69E-05	0	0	0	0	0	0	0	1.03E-07	0	0	0
0.00218598	0	0	0	0.000258939	0	0	0	7.36E-05	0	0	0	0	0	0	0	1.43E-07	0	0	0
0.00240318	0	0	0	0.000389511	0	0	0	0.000115578	0	0	0	0	0	0	0	2.09E-07	0	0	0
0.00261987	0	0	0	0.000577604	0	0	0	0.000184497	0	0	0	0	0	0	0	3.02E-07	0	0	0
0.00283592	0	0	0	0.000833806	0	0	0	0.000293545	0	0	0	0	0	0	0	4.33E-07	0	0	0
0.00305125	0	0	0	0.00115832	0	0	0	0.000457033	1.86E-07	0	0	0	0	0	0	6.12E-07	0	0	0
0.0032658	0	0	0	0.001532552	0	0	0	0.000684901	2.31E-06	0	0	0	0	0	0	8.61E-07	0	0	0
0.00347955	0	0	0	0.001935476	0	0	0	0.000978174	6.18E-06	0	0	0	0	0	0	1.22E-06	0	0	0
0.0036925	0	0	0	0.002343808	0	0	0	0.001332844	1.23E-05	0	0	0	0	0	0	1.65E-06	0	0	0
0.0039047	0	0	0	0.00274175	0	0	0	0.001725578	2.08E-05	0	0	0	0	0	0	2.25E-06	0	0	0
0.00411622	0	0	0	0.0031168	0	0	0	0.002129592	3.17E-05	0	0	0.00002333	0	0	0	3.06E-06	0	0	0
0.00432715	0	0	0	0.003459499	0	0	0	0.002520301	4.44E-05	0	0	0.00014856	0	0	0	3.84E-06	0	0	0
0.00453758	0	0	0	0.003771924	0	0	0	0.002885841	5.85E-05	0	0	0.0002716	0	0	0	4.44E-06	0	0	0
0.00474765	0	0	0	0.004051865	0	0	0	0.003215652	7.34E-05	0	0	0.00039242	0	0	0	4.91E-06	0	0	0
0.0049575	0	0	0	0.004302606	0	0	0	0.00351568	8.88E-05	0	0	0.00051098	0	0	0	5.45E-06	0	0	0
0.00516727	0	0	0	0.00453176	0	0	0	0.003788796	0.000104581	0	0	0.00062724	0	0	0	6.31E-06	0	0	0
0.00537711	0	0	0	0.004748375	0	0	0	0.004034243	0.000120309	0	0	0.00074121	0	0	0	7.68E-06	0	0	0
0.00558717	0	0	0	0.004958862	0	0	0	0.004264013	0.000136086	0	0	0.00085288	0	0	0	9.40E-06	0	0	0
0.0057976	0	0	0	0.00515946	0	0	0	0.004486479	0.000151985	0	0	0.00096228	0	0	0	1.12E-05	0	0	0
0.00600854	0	0	0	0.005352082	0	0	0	0.004693384	0.000167567	0	0	0.00106943	0	0	0	1.26E-05	0	0	0
0.00622011	0	0	0	0.005542717	0	0	0	0.00490523	0.000183419	0	0	0.00117438	0	0	0	1.40E-05	0	0	0
0.00643243	0	0	0	0.005731222	0	0	0	0.005118199	0.000199329	0	0	0.0012772	0	0	0	1.57E-05	0	0	0
0.00664559	0	0	0	0.005915766	0	0	0	0.005332309	0.000215221	0	0	0.00137797	0	0	0	1.87E-05	0	0	0
0.00685967	0	0	0	0.006096688	0	0	0	0.005544498	0.000230898	0	0	0.00147678	0	0	0	2.40E-05	0	0	0
0.00707471	0	0	0	0.006278648	0	0	0	0.00575653	0.000246364	0	0	0.00157373	0	0	0	3.14E-05	0	0	0
0.00729074	0	0	0	0.006465928	0	0	0	0.005998364	0.000262876	0	0	0.00166897	0	0	0	4.10E-05	0	0	0
0.00750776	0	0	0	0.006649179	0	0	0	0.006234973	0.000278905	0	0	0.00176263	0	0	0	5.23E-05	0	0	0
0.00772575	0	0	0	0.006834134	0	0	0	0.006490546	0.000295495	0	0	0.00185487	0	0	0	6.59E-05	0	0	0
0.00794463	0	0	0	0.007024392	0	0	0	0.006760792	0.000312454	0	0	0.00194585	0	0	0	8.31E-05	0	0	0
0.00816433	0	0	0	0.007221285	0	0	0	0.007043737	0.000329691	0	0	0.00203576	0	0	0	0.00010683	0	0	0
0.00838472	0	0	0	0.007406755	0	0	0	0.007358564	0.000348112	0	0	0.00212478	0	0	0	0.000142945	0	0	0
0.00860567	0	0	0	0.007612141	0	0	0	0.007661857	0.000365674	0	0	0.00221312	0	0	0	0.000188095	0	0	0
0.00882698	0	0	0	0.007840104	0	0	0	0.007980638	0.000383656	0	0	0.00230099	0	0	0	0.000239147	0	0	0
0.00904846	0	0	0	0.00808438	0	0	0	0.008316895	0.000402177	0	0	0.0023886	0	0	0	0.000302829	0	0	0
0.00926987	0	0	0	0.008338833	0	0	0	0.0086808	0.000421756	0	0	0.00247618	0	0	0	0.000377321	0	0	0
0.00949096	0	0	0	0.008615676	0	0	0	0.009072496	0.000442441	0	0	0.00256396	0	0	0	0.000462489	0	0	0
0.00971144	0	0	0	0.008901695	0	0	0	0.009457618	0.000462595	0	0	0.00265215	0	0	0	0.000558393	0	0	0
0.00993101	0	0	0	0.009202266	0	0	0	0.009859665	0.000483407	0	0	0.00274099	0	0	0	0.000663382	0	0	0
0.01014935	0	0	0	0.009509408	0	0	0	0.010245003	0.000503284	0	0	0.0028307	0	0	0	0.000777702	0	0	0
0.0103661	0	0	0	0.009830543	0	0	0	0.010610211	0.000522115	0	0	0.00292151	0	0	0	0.000900818	0	0	0
0.0105809	0	0	0	0.010156282	0	0	0	0.010994167	0.000541885	0	0	0.00301363	0	0	0	0.001031083	0	0	0
0.01079337	0	0	0	0.010489618	0	0	0	0.011388601	0.000562275	0	0	0.00310728	0	0	0	0.001165819	0	0	0
0.01100311	0	0	0	0.010824913	0	0	0	0.011789989	0.000583207	0	0	0.00320265	0	0	0	0.001301796	0	0	0
0.01120972	0	0	0	0.01117139	0	0	0	0.012173428	0.00060355	0	0	0.00329994	0	0	0	0.001437218	0	0	0
0.01141277	0	0	0	0.011505055	0	0	0	0.012542753	0.000623602	0	0	0.00339933	0	0	0	0.001570233	0	0	0
0.01161184	0	0	0	0.011843039	0	0	0	0.012930024	0.000645076	0	0	0.00350098	0	0	0	0.001698063	0	0	0
0.01180646	0	0	0	0.012189471	0	0	0	0.01332386	0.000667543	0	0	0.00360505	0	0	0	0.0018225	0	0	0
0.01199621	0	0	0	0.012518353	0	0	0	0.013748009	0.000692346	0	0	0.00371168	0	0	0	0.001942415	0	0	0
0.01218061	0	0	0	0.012850378	0	0	0	0.01416437	0.000717735	0	0	0.00382098	0	0	0	0.002056345	0	0	0
0.0123592	0	0	0	0.013181569	0	0	0	0.014556643	0.000743042	0	0	0.00393306	0	0	0	0.002172035	0	0	0
0.01253152	0	0	0	0.013473299	0	0	0	0.014946367	0.000769525	0	0	0.004048	0	0	0	0.002285609	0	0	0
0.01269707	0	0	0	0.013772689	0	0	0	0.015314766	0.000796397	0	0	0.00416586	0	0	0	0.002391921	0	0	0
0.01285537	0	0	0	0.014068083	0	0	0	0.015632451	0.000822281	0	0	0.00428668	0	0	0	0.002494593	0	0	0
0.01300595	0	0	0	0.014361397	0	0	0	0.015925248	0.000848666	0	0	0.0044105	0	0	0	0.002597639	0	0	0
0.01314829	0	0	0	0.0146316	0	0	0	0.016249891	0.000878784	0	0	0.00453732	0	0	0	0.002702509	0	0	0
0.01328191	0	0	0	0.014881536	0	0	0	0.016563692	0.000910605	0	0	0.00466712	0	0	0	0.002806783	0	0	0
0.01340629	0	0	0	0.015114295	0	0	0	0.016816979	0.000941581	0	0	0.00479986	0	0	0	0.002912475	0	0	0
0.01352093	0	0	0	0.015321022	0	0	0	0.017021026	0.000972433	0	0	0.00493549	0	0	0	0.003016636	0	0	0
0.01362532	0	0	0	0.015515727	0	0	0	0.017169914	0.001002915	0	0	0.00507393	0	0	0	0.003129377	0	0	0
0.01371894	0	0	0	0.015693992	0	0	0	0.017282031	0.001034184	0	0	0.0052151	0	0	0	0.003249592	0	0	0
0.01380128	0	0	0	0.015864383	0	0	0	0.017419061	0.001070153	0	0	0.00535888	0	0	0	0.00336257	0	0	0
0.0138718	0	0	0	0.016036862	0	0	0	0.01753525	0.001108371	0	0	0.00550514	0	0	0	0.003474425	0	0	0
0.01392999	0	0	0	0.016172759	0	0	0	0.01760879	0.001147652	0	0	0.00565375	0	0	0	0.003589339	0	0	0
0.01397533	0	0	0	0.016293079	0	0	0	0.017669322	0.0011901	0	0	0.00580454	0	0	0	0.003708148	0	0	0
0.01400727	0	0	0	0.016384523	0	0	0	0.01768787	0.001234001	0	0	0.00595735	0	0	0	0.003833532	0	0	0
0.01402531	0	0	0	0.016451668	0	0	0	0.017649965	0.00127841	0	0	0.00611198	0	0	0	0.003965802	0	0	0
0.01402892	0	0	0	0.01648257	0	0	0	0.017574813	0.001324736	0	0	0.00626826	0	0	0	0.004103663	0	0	0
0.01401758	0	0	0	0.016481514	0	0	0	0.017470772	0.001373735	0	0	0.00642596	0	0	0	0.004243383	0	0	0
0.01399077	0	0	0	0.016449805	0	0	0	0.017335126	0.00142536	0	0	0.00658488	0	0	0	0.004385903	0	0	0
0.013948	0	0	0	0.016370364	0	0	0	0.017163361	0.001479361	0	0	0.0067448	0	0	0	0.004529815	0	0	0
0.01388878	0	0	0	0.01628279	0	0	0	0.016956603	0.001535909	0	0	0.00690548	0	0	0	0.004673131	0	0	0
0.01381263	0	0	0	0.016152206	0	0	0	0.016707512	0.001594363	0	0	0.0070667	0	0	0	0.004819579	0	0	0
0.0137191	0	0	0	0.01598661	0	0	0	0.016425325	0.001655561	0	0	0.00722822	0	0	0	0.004969822	0	0	0
0.01360776	0	0	0	0.015785993	0	0	0	0.016118537	0.001720413	0	0	0.0073898	0	0	0	0.005125159	0	0	0
0.01347822	0	0	0	0.015544797	8.54E-06	0	0	0.015778449	0.001788058	0	0	0.00755118	0	0	0	0.005282624	0	0	0
0.01333013	0	0	0	0.015283665	8.68E-05	0	0	0.015430735	0.001861496	0	0	0.00771214	0	0	0	0.005438414	0	0	0
0.01316317	0	0	0	0.014992822	0.000168455	0	0	0.0150452	0.001937291	0	0	0.00787242	0	0	0	0.005592172	0	0	0
0.0129771	0	0	0	0.014668092	0.00025371	0	0	0.014625041	0.002015553	0	0	0.00803177	0	0	0	0.005742843	0	0	0
0.01277174	0	0	0	0.014317673	0.000342792	0	0	0.014181119	0.002097503	0	0	0.00818996	0	0	0	0.005896185	0	0	0
0.01254698	0	0	0	0.013940435	0.000436036	0	0	0.013708946	0.002182241	0	0	0.00834673	0	0	0	0.006051193	0	0	0
0.01230282	0	0	0	0.013546617	0.000533588	0	0	0.013206312	0.002268904	0	0	0.00850185	0	0	0	0.006203413	0	0	0
0.01203937	0	0	0	0.013117009	0.000635545	0	0	0.012682908	0.002358505	0	0	0.00865507	0	0	0	0.006354216	0	0	0
0.01175685	0	0	0	0.012668686	0.000742098	0	0	0.012147823	0.002452258	0	0	0.00880616	0	0	0	0.006505905	0	0	0
0.01145563	0	0	0	0.01220549	0.000853531	0	0	0.011604624	0.00255055	0	0	0.00895487	0	0	0	0.006656732	0	0	0
0.01113625	0	0	0	0.011732864	0.000970124	0	0	0.011048409	0.002651813	0	0	0.00910099	0	0	0	0.006799	0	0	0
0.01079941	0	0	0	0.011244473	0.001092004	0	0	0.010480423	0.002755419	0	0	0.00924426	0	0	0	0.006937813	0	0	0
0.010446	0	0	0	0.010740878	0.001218999	0	0	0.009900892	0.002860187	0	0	0.00938447	0	0	0	0.007074409	0	0	0
0.01007714	0	0	0	0.010225982	0.001351225	0	0	0.009326346	0.002969674	0	0	0.00952139	0	0	0	0.00720644	0	0	0
0.00969412	0	0	0	0.009716172	0.001489175	0	0	0.008760833	0.003084651	0	0	0.00965479	0	0	0	0.00734117	0	0	0
0.00929849	0.00000001	0	0	0.009199458	0.001632789	0	0	0.008200222	0.003202995	0	0	0.00978445	0	0	0	0.007472234	0	0	0
0.00889198	0.00000003	0	0	0.008685969	0.001782199	0	0	0.007644122	0.003323188	0	0	0.00991016	0	0	0	0.00759718	0	0	0
0.00847655	0.00000008	0	0	0.00817624	0.001937745	0	0	0.007098572	0.003446207	0	0	0.01003168	0	0	0	0.007720348	0	0	0
0.00805434	0.00000021	0	0	0.007663328	0.002099003	0	0	0.00657006	0.003573953	0	0	0.01014881	0	0	0	0.007837289	0	0	0
0.00762765	0.00000052	0	0	0.007163237	0.002265975	0	0	0.006057685	0.003704932	0	0	0.01026133	0	0	0	0.007947494	0	0	0
0.00719891	0.00000119	0	0	0.006674803	0.002414361	0	0	0.005566363	0.003840985	0	0	0.01036903	0	0	0	0.008055293	0	0	0
0.00677065	0.00000254	0	0	0.006198185	0.002598611	0	0	0.005092929	0.003978854	0	0	0.01047168	0	0	0	0.008158428	0	0	0
0.0063454	0.00000514	0	0	0.005736628	0.002756525	0	0	0.004641034	0.004119679	0	0	0.01056909	0	0	0	0.008253623	0	0	0
0.00592571	0.0000098	0	0	0.005291326	0.002964613	0	0	0.004212369	0.004263726	0	0	0.01066103	0	0	0	0.008346042	0	0	0
0.00551403	0.00001778	0	0	0.00486392	0.003142413	0	0	0.003806708	0.004409601	0	0	0.0107473	0	0	0	0.008435616	0	0	0
0.00511269	0.00003075	0	0	0.004455364	0.003371519	0	0	0.003425069	0.004557161	0	0	0.01082768	0	0	0	0.008515865	0	0	0
0.00472383	0.00005092	0	0	0.004067189	0.003565742	0	0	0.003069224	0.004707961	0	0	0.01090196	0	0	0	0.008593582	0	0	0
0.00434937	0.00008102	0	0	0.0036999	0.003813934	0	0	0.002740361	0.004864186	0	0	0.01096993	0	0	0	0.008670412	0	0	0
0.00399095	0.00012427	0	0	0.003352878	0.00402391	0	0	0.002416548	0.005022834	0	0	0.0110314	0	0	0	0.008742806	0	0	0
0.00364991	0.00018426	0	0	0.003029598	0.004284288	0	0	0.002150127	0.005183287	0	0	0.01108614	0	0	0	0.008812752	0	0	0
0.00332729	0.00026484	0	0	0.002727796	0.004515637	0	0	0.001912933	0.005345755	0	0	0.01113395	0	0	0	0.008881192	0	0	0
0.00302382	0.00036993	0	0	0.002446966	0.004771194	0	0	0.001700543	0.005505931	0	0	0.01117462	0	0	0	0.008949576	0	0	0
0.00273991	0.00050331	0	0	0.002187367	0.005025322	0	0	0.001511901	0.005668292	0	0	0.01120797	0	0	0	0.00901741	0	0	0
0.00247569	0.00066841	0	0	0.001948209	0.005286206	0	0	0.001344765	0.005834468	0	0	0.01123378	0	0	0	0.009086141	0	0	0
0.00223102	0.0008681	0	0	0.001729141	0.005555295	0	0	0.001195959	0.005999087	0	0	0.01125187	0	0	0	0.009154527	0	0	0
0.00200552	0.00110459	0	0	0.001529986	0.005833994	0	0	0.001064461	0.006173276	0	0	0.01126205	0	0	0	0.009222219	0	0	0
0.00179862	0.00137924	0	0	0.001348533	0.006121612	0	0	0.000947989	0.006341255	0	0	0.01126413	0	0	0	0.009291723	0	0	0
0.00160958	0.00169253	0	0	0.00118454	0.006417602	0	0	0.000844279	0.006527545	0	0	0.01125794	0	0	0	0.009358172	0	0	0
0.00143754	0.00204404	0	0	0.001036264	0.006699824	0	0	0.000752021	0.00669722	0	0	0.01124331	0	0	0	0.009420387	0	0	0
0.00128154	0.00243248	0	0	0.000903892	0.007009285	0	0	0.000670302	0.006889719	0	0	0.01122009	0	0	0	0.009481976	0	0	0
0.00114056	0.00285574	0	0	0.000785318	0.007274527	0	0	0.000597558	0.007066955	0	0	0.01118812	0	0	0	0.00955001	0	0	0
0.00101355	0.00331103	0	0	0.000679324	0.00758354	0	0	0.000532861	0.007260286	0	0	0.01114728	0	0	0	0.009620381	0	0	0
0.00089946	0.00379495	0	0	0.000585512	0.007849335	0	0	0.000475318	0.007441654	0	0	0.01109745	0	0	0	0.009689423	0	0	0
0.00079724	0.00430369	0	0	0.000502684	0.008153118	0	0	0.000424367	0.007641772	0	0	0.01103851	0	0	0	0.009758652	0	0	0
0.00070586	0.00483311	0	0	0.000429656	0.008414821	0	0	0.000379066	0.007832442	0	0	0.01097038	0	0	0	0.009822288	0	0	0
0.00062436	0.00537887	0	0	0.000365686	0.008711064	0	0	0.000338722	0.008036785	0	0	0.010893	0	0	0	0.009880284	0	0	0
0.00055181	0.00593661	0	0	0.000309799	0.008965692	0	0	0.000302654	0.008224365	0	0	0.01080632	0	0	0	0.009934959	0	0	0
0.00048734	0.006502	0	0	0.000261333	0.009248012	0	0	0.000270389	0.008426439	0	0	0.01071031	0	0	0	0.009986223	0	0	0
0.00043013	0.00707085	0	0	0.000219422	0.009494434	0	0	0.000241628	0.008597484	0	0	0.01060497	0.00000001	0	0	0.010032306	0	0	0
0.00037944	0.00763918	0	0	0.000183452	0.009762169	0	0	0.000215961	0.008793566	0	0	0.01049031	0.00000002	0	0	0.010072298	0	0	0
0.00033458	0.00820328	0	0	0.000152541	0.00999371	0	0	0.000193032	0.008956964	0	0	0.0103664	0.00000007	0	0	0.01010356	0	0	0
