Online Appendix to Endler & Mielke 2005
Values *  100         UV - type eye                               V - type eye
WAVELN     UVS+T     SWS+C     MWS+Y     LWS+R         UVS+T     SWS+C     MWS+Y     LWS+R
 300.0  0.066924  0.000000  0.000000  0.000000      0.000000  0.000000  0.000000  0.000000
 301.0  0.088357  0.000000  0.000000  0.000000      0.000000  0.000000  0.000000  0.000000
 302.0  0.109922  0.000000  0.000000  0.000000      0.000000  0.000000  0.000000  0.000000
 303.0  0.131585  0.000000  0.000000  0.000000      0.000000  0.000000  0.000000  0.000000
 304.0  0.153312  0.000000  0.000000  0.000000      0.000000  0.000000  0.000000  0.000000
 305.0  0.175074  0.000000  0.000000  0.000000      0.000000  0.000000  0.000000  0.000000
 306.0  0.196843  0.000000  0.000000  0.000000      0.000000  0.000000  0.000000  0.000000
 307.0  0.218598  0.000000  0.000000  0.000000      0.000000  0.000000  0.000000  0.000000
 308.0  0.240318  0.000000  0.000000  0.000000      0.000000  0.000000  0.000000  0.000000
 309.0  0.261987  0.000000  0.000000  0.000000      0.000000  0.000000  0.000000  0.000000
 310.0  0.283592  0.000000  0.000000  0.000000      0.000000  0.000000  0.000000  0.000000
 311.0  0.305125  0.000000  0.000000  0.000000      0.000000  0.000000  0.000000  0.000000
 312.0  0.326580  0.000000  0.000000  0.000000      0.000000  0.000000  0.000000  0.000000
 313.0  0.347955  0.000000  0.000000  0.000000      0.000000  0.000000  0.000000  0.000000
 314.0  0.369250  0.000000  0.000000  0.000000      0.000000  0.000000  0.000000  0.000000
 315.0  0.390470  0.000000  0.000000  0.000000      0.000000  0.000000  0.000000  0.000000
 316.0  0.411622  0.000000  0.000000  0.000000      0.002333  0.000000  0.000000  0.000000
 317.0  0.432715  0.000000  0.000000  0.000000      0.014856  0.000000  0.000000  0.000000
 318.0  0.453758  0.000000  0.000000  0.000000      0.027160  0.000000  0.000000  0.000000
 319.0  0.474765  0.000000  0.000000  0.000000      0.039242  0.000000  0.000000  0.000000
 320.0  0.495750  0.000000  0.000000  0.000000      0.051098  0.000000  0.000000  0.000000
 321.0  0.516727  0.000000  0.000000  0.000000      0.062724  0.000000  0.000000  0.000000
 322.0  0.537711  0.000000  0.000000  0.000000      0.074121  0.000000  0.000000  0.000000
 323.0  0.558717  0.000000  0.000000  0.000000      0.085288  0.000000  0.000000  0.000000
 324.0  0.579760  0.000000  0.000000  0.000000      0.096228  0.000000  0.000000  0.000000
 325.0  0.600854  0.000000  0.000000  0.000000      0.106943  0.000000  0.000000  0.000000
 326.0  0.622011  0.000000  0.000000  0.000000      0.117438  0.000000  0.000000  0.000000
 327.0  0.643243  0.000000  0.000000  0.000000      0.127720  0.000000  0.000000  0.000000
 328.0  0.664559  0.000000  0.000000  0.000000      0.137797  0.000000  0.000000  0.000000
 329.0  0.685967  0.000000  0.000000  0.000000      0.147678  0.000000  0.000000  0.000000
 330.0  0.707471  0.000000  0.000000  0.000000      0.157373  0.000000  0.000000  0.000000
 331.0  0.729074  0.000000  0.000000  0.000000      0.166897  0.000000  0.000000  0.000000
 332.0  0.750776  0.000000  0.000000  0.000000      0.176263  0.000000  0.000000  0.000000
 333.0  0.772575  0.000000  0.000000  0.000000      0.185487  0.000000  0.000000  0.000000
 334.0  0.794463  0.000000  0.000000  0.000000      0.194585  0.000000  0.000000  0.000000
 335.0  0.816433  0.000000  0.000000  0.000000      0.203576  0.000000  0.000000  0.000000
 336.0  0.838472  0.000000  0.000000  0.000000      0.212478  0.000000  0.000000  0.000000
 337.0  0.860567  0.000000  0.000000  0.000000      0.221312  0.000000  0.000000  0.000000
 338.0  0.882698  0.000000  0.000000  0.000000      0.230099  0.000000  0.000000  0.000000
