wl,dm.r1,drosophila.u,drosophila.s,drosophila.m,drosophila.l
300,0.001732648,0.002568128,0.002459545,0.001313254,0.000439439
301,0.001778398,0.00259377,0.002475749,0.001308991,0.000446547
302,0.001822856,0.002618236,0.002491396,0.001304964,0.000453493
303,0.001866068,0.00264154,0.002506517,0.001301148,0.000460285
304,0.001908081,0.002663693,0.002521141,0.001297515,0.00046693
305,0.00194894,0.002684706,0.002535298,0.001294042,0.000473434
306,0.001988687,0.002704591,0.002549016,0.001290701,0.000479805
307,0.002027369,0.002723359,0.002562324,0.00128747,0.000486048
308,0.002065026,0.002741021,0.002575249,0.001284322,0.000492171
309,0.002101703,0.002757587,0.002587821,0.001281235,0.000498181
310,0.00213744,0.002773069,0.002600065,0.001278183,0.000504082
311,0.002172279,0.002787476,0.002612008,0.001275145,0.000509883
312,0.002206261,0.002800819,0.002623678,0.001272095,0.000515589
313,0.002239335,0.002813095,0.002635039,0.001269063,0.00052119
314,0.002271416,0.002824303,0.002646029,0.001266102,0.000526671
315,0.002302496,0.002834458,0.002656636,0.001263231,0.00053203
316,0.002332568,0.002843575,0.002666849,0.001260466,0.000537266
317,0.002361623,0.002851669,0.002676657,0.001257825,0.000542377
318,0.002389652,0.002858754,0.002686048,0.001255326,0.000547362
319,0.00241665,0.002864845,0.002695011,0.001252984,0.000552219
320,0.002442607,0.002869956,0.002703536,0.001250816,0.000556946
321,0.002467516,0.002874101,0.002711611,0.001248838,0.000561543
322,0.00249137,0.002877294,0.002719225,0.001247067,0.000566009
323,0.002514162,0.002879548,0.002726369,0.001245519,0.00057034
324,0.002535883,0.002880877,0.002733031,0.001244209,0.000574537
325,0.002556526,0.002881294,0.002739202,0.001243152,0.000578598
326,0.002576422,0.002880845,0.00274509,0.001242171,0.000582573
327,0.002595844,0.002879564,0.002750871,0.001241109,0.000586502
328,0.002614697,0.002877442,0.002756487,0.001240019,0.000590372
329,0.002632889,0.002874474,0.002761876,0.001238948,0.000594167
330,0.002650328,0.002870651,0.002766982,0.001237947,0.000597875
331,0.002666925,0.002865966,0.002771745,0.001237065,0.000601481
332,0.002682589,0.002860413,0.002776109,0.001236349,0.000604971
333,0.002697234,0.002853984,0.002780018,0.001235847,0.000608333
334,0.002710772,0.002846673,0.002783415,0.001235605,0.000611552
335,0.002723116,0.002838472,0.002786246,0.00123567,0.000614616
336,0.002734182,0.002829375,0.002788455,0.001236088,0.000617511
337,0.002743886,0.002819375,0.00278999,0.001236904,0.000620224
338,0.002752145,0.002808466,0.002790797,0.001238163,0.000622744
339,0.00276029,0.002796751,0.002791697,0.001239038,0.000625259
340,0.002769427,0.002784322,0.002793372,0.001238853,0.000627928
341,0.002779134,0.002771155,0.002795566,0.001237875,0.000630692
342,0.002788997,0.002757227,0.002798021,0.001236369,0.000633492
343,0.002798604,0.002742514,0.002800488,0.001234594,0.000636269
344,0.002807551,0.002726993,0.002802715,0.001232808,0.000638966
345,0.002815436,0.002710641,0.002804459,0.001231267,0.000641525
346,0.002821862,0.002693436,0.002805474,0.001230221,0.000643891
347,0.002826439,0.002675354,0.002805521,0.00122992,0.000646008
348,0.002828778,0.002656374,0.002804361,0.001230609,0.000647821
349,0.002828497,0.002636474,0.002801761,0.001232533,0.000649275
350,0.002825216,0.00261563,0.002797486,0.001235931,0.000650317
