
Integration time [ms]:    6.00
Averaging Nr. [scans]: 79
Smoothing Nr. [pixels]: 1
Data measured with spectrometer [name]: 1209167U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 300.00;   -6.893;  -10.335;   -9.339;252.16336
 301.00;   -7.474;   -7.390;   -9.369; 0.00000
 302.00;   -7.357;   -9.903;  -12.141;74.36793
 303.00;   -1.843;  -12.670;  -12.082;34.58589
 304.00;   -5.175;  -13.098;  -11.184;101.20355
 305.00;  -10.012;  -13.778;  -13.136; 0.00000
 306.00;  -10.666;  -14.226;  -11.079;94.82961
 307.00;  -13.112;  -12.942;  -10.585;34.27469
 308.00;  -13.079;  -12.193;  -13.231; 0.00000
 309.00;  -12.607;  -13.978;  -12.690;105.65214
 310.00;  -10.824;  -12.302;  -13.587; 0.00000
 311.00;   -8.900;   -8.437;  -11.736; 0.00000
 312.00;  -10.001;   -6.483;   -7.469; 0.81171
 313.00;  -10.215;  -12.562;   -7.985;60.23603
 314.00;   -9.513;  -17.248;   -9.732;103.44587
 315.00;   -9.406;  -14.829;  -11.207;152.03568
 316.00;  -11.326;   -9.920;   -5.479; 6.45330
 317.00;  -12.713;  -11.755;   -9.040; 0.00000
 318.00;  -12.134;  -12.871;  -15.760; 0.00000
 319.00;  -14.201;   -9.034;  -13.662; 0.00000
 320.00;  -13.482;  -10.930;  -14.133; 0.00000
 321.00;  -11.978;  -12.621;  -12.481; 3.75021
 322.00;  -11.135;  -12.822;   -9.368;49.39141
 323.00;   -9.948;  -10.103;   -9.870;13.74588
 324.00;  -10.235;  -10.569;  -10.246; 0.00000
 325.00;  -12.754;  -11.940;   -7.687; 0.00000
 326.00;  -11.907;  -12.460;   -9.035;14.22288
 327.00;  -11.433;  -10.569;  -11.518; 0.00000
 328.00;  -11.212;   -9.492;  -10.243; 0.00000
 329.00;  -11.246;   -9.705;  -12.381; 0.00000
 330.00;  -11.019;  -13.105;  -11.600;19.99814
 331.00;  -11.069;  -14.888;   -8.944;64.30534
 332.00;  -12.012;  -11.519;   -8.201; 4.96132
 333.00;  -11.078;  -13.119;  -10.506;83.24094
 334.00;  -11.038;  -13.354;  -12.037;175.91832
 335.00;  -15.262;  -13.053;  -14.001; 0.00000
