wl,Goodenia_heterophylla,Goodenia_geniculata
300,1.742638681,1.918961672
301,1.572484919,1.872966493
302,1.4099808,1.828018757
303,1.254770865,1.784151659
304,1.106499653,1.741398398
305,0.964811705,1.699792169
306,0.829351562,1.659366169
307,0.699763763,1.620153596
308,0.575692849,1.582187647
309,0.45678336,1.545501517
310,0.342679837,1.510128404
311,0.233026819,1.476101506
312,0.127468847,1.443454017
313,0.026469902,1.412099208
314,0,1.381918959
315,0,1.352899386
316,0,1.325026605
317,0,1.298286733
318,0,1.272665885
319,0,1.248150177
320,0,1.224725726
321,0,1.202378647
322,0,1.181095058
323,0,1.160861073
324,0,1.141662808
325,0,1.123486381
326,0,1.106634556
327,0,1.091357139
328,0,1.07756081
329,0,1.065152248
330,0,1.054038131
331,0,1.044125138
332,0,1.035319949
333,0,1.027529242
334,0,1.020659697
335,0,1.014617991
336,0,1.009310805
337,0,1.004644816
338,0,1.000526704
339,0,0.998378586
340,0,0.99938089
341,0,1.003077767
342,0,1.009013366
343,0,1.016731836
344,0,1.025777328
345,0.066080612,1.035693989
346,0.150614093,1.04602597
347,0.251759937,1.056317421
348,0.373448411,1.06611249
349,0.519609783,1.074955328
350,0.694174318,1.082390083
351,0.888430951,1.088165607
352,1.091513515,1.092580086
353,1.304119622,1.096001675
354,1.526946887,1.098798527
355,1.760692923,1.101338797
356,2.006055343,1.103990636
357,2.263731762,1.1071222
358,2.534419792,1.111101642
359,2.818817049,1.116297116
360,3.117621144,1.123076776
361,3.431529692,1.131808775
362,3.761240307,1.142861266
363,4.107450602,1.156602404
364,4.486676537,1.171674765
365,4.910287592,1.186631214
366,5.371261657,1.201705336
367,5.862576622,1.217130718
368,6.377210377,1.233140948
369,6.908140813,1.249969611
370,7.44834582,1.267850294
371,7.990803288,1.287016585
372,8.528491108,1.307702068
373,9.054387169,1.330140333
374,9.561469363,1.354564963
375,10.04271558,1.381209548
376,10.53664996,1.404950267
377,11.08054358,1.421642705
378,11.66549467,1.43298955
379,12.28260151,1.440693491
380,12.92296234,1.446457216
381,13.57767543,1.451983414
382,14.23783904,1.458974773
383,14.89455141,1.469133981
384,15.5389108,1.484163728
385,16.16201548,1.505766702
386,16.7549637,1.535645591
387,17.30885372,1.575503084
388,17.81478379,1.627041869
389,18.30811694,1.659801335
390,18.82592541,1.649216178
391,19.36187128,1.605832047
392,19.90961663,1.540194592
393,20.46282354,1.462849462
394,21.01515409,1.384342307
395,21.56027036,1.315218777
396,22.09183442,1.266024521
397,22.60350836,1.247305188
398,23.08895426,1.269606429
399,23.54183419,1.343473893
400,23.95581024,1.47945323
401,24.34234674,1.617165999
402,24.71724106,1.698887537
403,25.08065479,1.739144159
404,25.43274953,1.752462179
405,25.77368688,1.753367912
406,26.10362843,1.756387673
407,26.42273579,1.776047775
408,26.73117056,1.826874533
409,27.02909434,1.923394261
410,27.31666871,2.080133275
411,27.59405529,2.311617889
412,27.86141568,2.632374416
413,28.11891146,3.056929172
414,28.35782604,3.548177302
415,28.57145415,4.060656188
416,28.76297436,4.5963555
417,28.93556523,5.157264906
418,29.09240534,5.745374075
419,29.23667327,6.362672678
420,29.37154759,7.011150382
421,29.50020686,7.692796858
422,29.62582967,8.409601773
423,29.75159458,9.163554798
424,29.88068017,9.956645601
425,30.01626502,10.79086385
426,30.14680707,11.71668924
427,30.25996936,12.77015359
428,30.35773804,13.93157474
429,30.44209924,15.18127054
430,30.51503912,16.49955885
431,30.57854383,17.8667575
432,30.63459951,19.26318436
