wl	HEG_Y.1	HEG_Y.2	HEG_Y.3	HEG_Y.4	HEG_Y.5	HEG_Y.6	HME_Y.1	HME_Y.2	HME_Y.3	HME_Y.4	HME_Y.5	HME_Y.6	HEG_R.1	HEG_R.2	HEG_R.3	HEG_R.4	HEG_R.5	HEG_R.6	HME_R.1	HME_R.2	HME_R.3	HME_R.4	HME_R.5	HME_R.6	HEG_B.1	HEG_B.2	HEG_B.3	HEG_B.4	HEG_B.5	HEG_B.6	HME_B.1	HME_B.2	HME_B.3	HME_B.4	HME_B.5	HME_B.6
300	8.2	12.92	14.16	18.95	17.77	16.88	24.93	23.86	16.51	26.22	24.62	15.97	2.87441	0.149149	3.34476	1.51326	5.04941	5.1503982	5.2513864	1.6494534	3.6457884	0.16108092	2.9031541	0.164302538	7.3021187	6.28197	6.82441	3.99398	7.886288196	7.2870852	7.506851	4.1137994	8.674917016	7.359956052	7.65698802	4.833714295
301	7.57	12.37	13.75	18.39	17.15	16.42	24.52	23.43	16	25.78	24.03	15.39	2.87441	0.149149	3.34476	1.51326	5.09911	5.2010922	5.609021	1.588923	3.4451028	0.15660645	3.0756187	0.170701031	7.7311152	5.9711	7.15844	3.95154	8.272293264	6.090522	7.6595308	3.9910554	9.595860186	6.57776376	8.42548388	4.39016094
302	7.16	11.97	13.47	17.95	16.71	16.06	24.25	23.17	15.65	25.46	23.56	14.97	2.64462	0.149589	3.49528	1.51326	5.25641	5.4141023	5.7294869	1.6040556	3.670044	0.16155612	2.8297434	0.17448061	7.8620672	5.54986	7.55968	3.86811	8.412411904	6.5488348	7.937664	4.1001966	9.926646047	6.810788192	8.49330048	4.51021626
303	6.91	11.7	13.29	17.62	16.4	15.76	24.08	23.02	15.41	25.23	23.19	14.66	2.87441	0.149149	3.34476	1.56976	5.62872	5.6850072	5.8538688	1.6168528	3.6123408	0.15660645	2.9893864	0.167568902	8.758772	4.99162	7.96252	3.81269	9.10912288	5.3909496	8.4402712	4.0033245	9.83785271	5.768316072	9.031090184	4.904072513
304	6.77	11.5	13.17	17.35	16.19	15.5	23.96	22.94	15.24	25.06	22.86	14.44	3.26656	0.148207	3.05123	1.65451	5.91936	5.9785536	5.9785536	1.7041453	3.1732792	0.15561735	3.3645568	0.169622912	8.8160412	4.6029	8.31702	3.8519	9.69764532	4.879074	9.0655518	4.198571	10.08555113	4.97665548	9.609484908	4.6184281
305	6.7	11.36	13.09	17.13	16.03	15.28	23.88	22.9	15.12	24.91	22.58	14.29	3.86961	0.146505	2.65754	1.76951	6.09378	6.398469	6.5203446	1.9287659	2.8169924	0.1523652	4.0630905	0.158459808	8.711856	4.44827	8.6256	3.95974	8.97321168	4.9820624	9.315648	4.1973244	10.40892555	5.031883024	9.7814304	5.03678928
306	6.68	11.26	13.04	16.93	15.92	15.07	23.82	22.89	15.04	24.79	22.32	14.16	4.54999	0.143897	2.23609	1.90276	6.1251	6.186351	6.186351	1.9408152	2.2808118	0.15540876	4.9139892	0.160071023	9.0690367	4.46515	8.80489	4.07254	9.159727067	4.822362	8.9809878	4.1132654	9.892505232	5.20815096	9.340227312	4.73025521
307	6.69	11.19	13.01	16.75	15.83	14.88	23.76	22.88	14.97	24.67	22.08	14.07	5.22039	0.140333	1.95394	2.04851	6.01265	6.613915	6.132903	2.1714206	1.9734794	0.1543663	5.6902251	0.160540952	8.8820713	4.58316	8.79413	4.15609	9.681457717	4.7664864	9.0579539	4.4470163	11.0368618	5.24313504	9.96374929	5.002893338
308	6.72	11.13	12.98	16.58	15.75	14.7	23.7	22.88	14.91	24.54	21.83	13.98	5.76496	0.13589	1.87524	2.20051	5.80047	6.0904935	6.3225123	2.2225151	1.969002	0.1413256	5.8226096	0.146978624	9.09678	4.84349	8.6636	4.27293	9.1877478	5.0372296	9.183416	4.6147644	11.02529736	5.238718784	9.36708432	5.19160995
309	6.75	11.07	12.96	16.42	15.68	14.54	23.63	22.86	14.86	24.41	21.59	13.89	6.07254	0.130777	2.05832	2.35551	5.33584	5.3891984	5.4959152	2.3790651	2.2229856	0.13208477	6.1939908	0.138689009	9.198036	5.30432	8.5167	4.35026	10.1178396	6.0469248	9.198036	4.5242704	11.12962356	6.470209536	9.29001636	5.42912448
310	6.79	11.02	12.94	16.26	15.61	14.37	23.55	22.84	14.8	24.26	21.34	13.8	6.07535	0.125312	2.39839	2.51151	4.87104	5.0171712	5.358144	2.6119704	2.6142451	0.12907136	6.439871	0.139397069	8.8709916	5.79657	8.36886	4.37105	9.137121348	6.0284328	8.4525486	4.458471	10.05083348	6.088717128	8.621599572	5.238703425
311	6.83	10.98	12.91	16.1	15.54	14.22	23.47	22.81	14.74	24.1	21.09	13.71	5.74195	0.119954	2.7451	2.66776	4.46928	4.5139728	4.6480512	2.8278256	2.854904	0.12835078	6.0290475	0.130917796	9.051306	6.17631	8.22846	4.36698	9.41335824	6.9174672	8.7221676	4.5416592	10.73122839	7.60921392	9.507162684	4.65520068
312	6.87	10.92	12.87	15.94	15.47	14.08	23.37	22.77	14.67	23.93	20.84	13.62	5.09422	0.115191	2.95454	2.82401	4.14973	4.4402111	4.3987138	2.9652105	3.102267	0.12095055	5.1961044	0.1318361	8.949776	6.37202	8.13616	4.35963	9.30776704	6.7543412	8.8684144	4.795593	10.0523884	6.821884612	9.577887552	5.874601425
313	6.91	10.87	12.84	15.79	15.4	13.95	23.26	22.72	14.59	23.74	20.59	13.51	4.19302	0.111586	3.03243	2.98026	3.93007	4.323077	4.2051749	3.0696678	3.2447001	0.11493358	4.3188106	0.124128266	8.1935341	6.39708	8.11241	4.36682	8.767081487	6.6529632	8.7614028	4.4978246	9.819131265	7.052140992	9.287086968	4.835161445
314	6.94	10.81	12.79	15.63	15.34	13.82	23.14	22.67	14.5	23.54	20.33	13.4	3.16287	0.109664	2.97727	3.13651	3.86903	4.1398621	4.0624815	3.1992402	3.0368154	0.11185728	3.479157	0.118568717	8.1860197	6.36216	8.10497	4.40891	8.595320685	7.3801056	8.1860197	4.6293555	9.28294634	7.822911936	8.595320685	5.439492713
315	6.97	10.74	12.75	15.48	15.27	13.71	23.02	22.61	14.4	23.33	20.08	13.29	2.13843	0.109804	2.82335	3.29276	4.04657	4.1275014	4.4107613	3.3586152	3.0209845	0.1207844	2.2239672	0.123200088	8.693186	6.29802	7.9754	4.48954	8.86704972	6.6759012	8.134908	4.938494	9.753754692	7.00969626	8.46030432	6.1731175
316	6.99	10.67	12.7	15.33	15.21	13.59	22.88	22.54	14.29	23.1	19.82	13.17	1.25927	0.112126	2.63255	3.44901	4.20027	4.5782943	4.4102835	3.5524803	2.8168285	0.11324726	1.2970481	0.114379733	7.9184606	6.25167	7.84006	4.56483	8.156014418	6.876837	7.9968612	4.7930715	9.624097013	7.5645207	8.556641484	5.152551863
317	7.01	10.59	12.64	15.19	15.15	13.48	22.74	22.47	14.17	22.87	19.57	13.05	0.630596	0.116407	2.37116	3.60526	4.30853	4.3516153	4.5239565	3.7494704	2.3948716	0.11873514	0.68104368	0.129421303	7.758214	6.21172	7.6814	4.53629	7.99096042	7.454064	8.142284	4.8538303	9.589152504	8.1994704	8.5493982	6.067287875
318	7.03	10.51	12.59	15.06	15.09	13.37	22.6	22.39	14.03	22.62	19.31	12.93	0.318793	0.121964	1.9066	3.76151	4.38762	4.6508772	4.5192486	4.137661	1.963798	0.13172112	0.32835679	0.133038331	7.8716715	6.20434	7.49683	4.45001	8.107821645	6.9488608	8.246513	4.6280104	9.729385974	7.087838016	8.49390839	4.74371066
319	7.03	10.43	12.53	14.93	15.04	13.26	22.44	22.31	13.9	22.36	19.06	12.8	0.32779	0.127849	1.2655	3.91776	4.42612	4.7802096	4.8244708	4.2311808	1.29081	0.13424145	0.3310679	0.147665595	8.001851	6.23297	7.27441	4.35987	8.56198057	6.3576294	7.6381305	4.795857	8.733220181	6.611934576	8.020037025	5.395339125
320	7.03	10.34	12.47	14.8	15	13.14	22.28	22.22	13.75	22.09	18.8	12.67	0.603944	0.133046	0.579984	4.07401	4.31935	4.405737	4.3625435	4.481411	0.62058288	0.13570692	0.65225952	0.139778128	7.10787	6.21804	6.9685	4.19094	7.818657	7.3372872	7.24724	4.3166682	8.91326898	7.70415156	7.6820744	5.39583525
321	7.03	10.25	12.4	14.68	14.96	13.03	22.11	22.13	13.6	21.8	18.55	12.53	1.05296	0.136663	0	4.23026	4.17902	4.3043906	4.4715514	4.6109834	0	0.13802963	1.1371968	0.149072	7.1338505	6.07853	6.66715	4.16913	7.70455854	6.3216712	7.1338505	4.586043	8.320923223	6.384887912	7.84723555	4.929996225
322	7.02	10.17	12.33	14.57	14.93	12.9	21.93	22.03	13.44	21.51	18.3	12.4	1.57767	0.138117	0	4.38651	4.12428	4.4129796	4.4129796	4.6935657	0	0.1519287	1.735437	0.162563709	6.4706862	5.85348	6.40662	4.18395	6.988341096	6.3217584	6.6628848	4.3931475	7.687175206	6.574628736	7.262544432	5.052119625
